Ã¯Â»Â¿PlantID,PlantName,Latitude,Longitude,Capacity,ProductionVolume,ProductionEfficiency,MarketShare,SalesRevenue,ComplianceStatus,QAMetrics,DefectRate,ProductSpecification,researchProjects,CSscore,revenue,costOfProduction,ProfitMargin,CarbonEmmision,WasteDisposalMetrics, EnergyConsumption,Year,PlantID,ResearchProjects,EnergyConsumption
1.0,IndianPoly Industries,5.478256,76.7299,566.33,861.42,39.97,97.36,6069.55,False,8.0,47.0,D,17.0,83.0,859163.16,363571.78,57.68303427,400.21,113.27,676.65,1927.0,,,
2.0,Petrochem India,23.714316,92.8552,710.94,709.98,33.02,94.12,8582.95,True,9.0,57.0,A,62.0,28.0,557917.84,277384.21,50.28224765,433.8,143.32,549.9,1977.0,,,
3.0,BharatChem Corporation,43.4914335,80.1242,186.96,767.5,69.38,29.16,1249.66,True,1.0,70.0,B,11.0,53.0,424655.44,383039.18,9.80000633,427.5,548.54,540.31,2015.0,,,
4.0,Ganges Petrochemicals,24.2957346,80.4473,7.26,492.07,45.63,85.79,5976.91,True,0.0,34.0,A,40.0,46.0,668691.29,532793.94,20.32288322,91.07,889.98,635.33,1979.0,,,
5.0,Petrochem India,41.8784851,96.8004,571.19,526.56,12.12,97.21,3581.56,False,6.0,58.0,D,13.0,85.0,596889.14,413310.38,30.75592228,405.43,278.79,517.12,1916.0,,,
6.0,Ganges Petrochemicals,8.6093813,74.0655,819.03,440.85,44.41,80.47,4463.23,True,1.0,87.0,D,69.0,32.0,406367.04,890926.66,-119.2418608,395.34,366.15,927.75,2001.0,,,
7.0,Petrochem India,13.5292779,83.3393,886.42,240.31,87.49,68.97,7889.4,True,2.0,95.0,B,9.0,58.0,675451.95,97675.89,85.5391801,488.85,98.29,510.65,1926.0,,,
8.0,Himalaya Petro Products,47.9848822,91.662,806.96,218.02,35.07,3.04,417.94,False,0.0,38.0,C,13.0,35.0,520699.92,897387.53,-72.34255193,171.52,318.91,106.16,1929.0,,,
9.0,IndianPoly Industries,62.4857735,78.0194,490.6,217.53,99.21,68.86,3022.37,False,6.0,97.0,C,71.0,59.0,679569.07,947706.03,-39.45691054,257.61,667.57,877.71,1993.0,,,
10.0,Ganges Petrochemicals,31.364902,91.7369,933.89,664.48,19.1,79.21,9754.32,False,8.0,89.0,B,92.0,1.0,543484.75,452765.48,16.69214638,709.75,850.97,310.24,1911.0,,,
